college_name,about,address,affiliated,state,college_type,established,exam,courses,accreditations,approvals,gender,student_count,faculty_count,gender_percentage,campus_size,website_link
"CMS Polytechnic College, Eranapuram",NA,"CMS Polytechnic College, CMS Nagar, Near by Collectorate, Eranapuram, Namakkal, Tamil Nadu, Pin code: 637003, India","Directorate of Technical Education, Chennai",Tamil Nadu,Private,2010,NA,"1, Degrees and , ,7, Courses",NA,Affiliated,Co-ed,416,57,NA,"5, acres",https://www.careers360.com/colleges/cms-polytechnic-college-eranapuram
"CMS College of Engineering and Technology, Coimbatore",NA,"CMS College of Engineering and Technology, Appachigoudanpathy, Kumittipathy, Kumittipathy, Othakalmandapam, Coimbatore-641032, Tamil Nadu, India","Anna University, Chennai",Tamil Nadu,Private,2009,NA,"2, Degrees and , ,9, Courses",NA,Affiliated,Co-ed,421,73,NA,"27, acres",https://www.careers360.com/colleges/cms-college-of-engineering-and-technology-coimbatore
"CMS College of Science and Commerce, Coimbatore","was established by the CMS Educational and Charitable Trust, a non-profit organisation in the year 1988. It is also known as CMS College. In the year 2007, the college received the accolade of autonomy. The institute is approved by the All India Council for Technical Education (AICTE), Ministry of Human Resource Development, Government of India, New Delhi and is recognised by the University Grants Commission. The college was ranked 82 in the college category by the NIRF in the year 2020. CMS College of Science and Commerce, Coimbatore offers 17 Undergraduate courses, 14 Postgraduate, 7 , and 3 , programmes to the students.","CMS College of Science and Commerce,Chinnavedampatty, Coimbatore, Tamil Nadu, India - 641049.","Bharathiar University, Coimbatore",Tamil Nadu,Private,1988,NA,"13, Degrees and , ,53, Courses",NAAC,Autonomous,Co-ed,3146,126,Male 70% and Female 30%,"26, acres",https://www.careers360.com/colleges/cms-college-of-science-and-commerce-coimbatore
"CR Engineering College, Madurai",NA,"CR Engineering College, Valayapatti Village , Melur Tk, Alagarkovil, Madurai, Tamil Nadu, India","Anna University, Chennai",Tamil Nadu,Private,2011,NA,NA,NA,Affiliated,Co-ed,NA,132,NA,NA,https://www.careers360.com/colleges/cr-engineering-college-madurai
"CSI Institute of Technology, Kanyakumari",NA,"CSI Institute of Technology, Thovalai, Kanyakumari-District, Tamil Nadu-629302, India","Anna University, Chennai",Tamil Nadu,Private,1995,NA,"4, Degrees and , ,17, Courses",NA,Affiliated,Co-ed,628,145,NA,"35, acres",https://www.careers360.com/colleges/csi-institute-of-technology-kanyakumari
"CSIR-Central ElectroChemical Research Institute, Karaikudi",NA,"CSIR-Central ElectroChemical Research Institute, Karaikudi, Tamil Nadu, Pincode: 630003, India","Anna University, Chennai",Tamil Nadu,Government,1948,JEE Main,"1, Degrees and , ,1, Courses",NA,Affiliated,Co-ed,156,11,NA,"300, acres",https://www.careers360.com/colleges/csir-central-electrochemical-research-institute-karaikudi
"CSI College of Engineering, Nilgiris",NA,"CSI College of Engineering, Ketti (Near Ooty), The Nilgiris, Tamil Nadu, Pincode: 643215, India","Anna University, Chennai",Tamil Nadu,Private,1997,NA,"2, Degrees and , ,10, Courses",NA,Affiliated,Co-ed,748,113,NA,"25, acres",https://www.careers360.com/colleges/csi-college-of-engineering-nilgiris
"CSIR Central Leather Research Institute, Chennai",NA,"CSIR Central Leather Research Institute, Sardar Patel Road, Adyar, Chennai, Tamil Nadu, Pincode: 600020, India","Anna University, Chennai",Tamil Nadu,Government,1948,NA,"6, Degrees and , ,14, Courses",NA,Affiliated,Co-ed,NA,NA,NA,NA,https://www.careers360.com/colleges/csir-central-leather-research-institute-chennai
"CSI Polytechnic College, Salem",NA,"CSI Polytechnic College, Yercaud Road, Hasthampatty, Salem, Pincode 636007, Tamil Nadu, India","Directorate of Technical Education, Chennai",Tamil Nadu,Private,1984,NA,"1, Degrees and, ,10, Courses",NA,Affiliated,Co-ed,1165,88,NA,"15, acres",https://www.careers360.com/colleges/csi-polytechnic-college-salem
"Capital College of Architecture, Coimbatore",NA,"Capital College of Architecture, Sri Venkateshwara College road, Ettimadai, Coimbatore, Tamil Nadu, Pin code: 641112, India","Anna University, Chennai",Tamil Nadu,Private,2014,NA,"1, Degrees and , ,1, Courses",NA,Affiliated,NA,79,NA,NA,NA,https://www.careers360.com/colleges/capital-college-of-architecture-coimbatore
"Cape Polytechnic College, Kanyakumari",NA,"Cape Polytechnic College, Opposite to Muppanthal Temple, Thovalai Taluk, Aralvoimozhi, Kanyakumari District – 629301, Tamil Nadu, India","Directorate of Technical Education, Chennai",Tamil Nadu,Private,2007,NA,"1, Degrees and , ,6, Courses",NA,Affiliated,Co-ed,618,58,NA,"15, acres",https://www.careers360.com/colleges/cape-polytechnic-college-kanyakumari
"Cauvery College for Women, Annamalai Nagar",Cauvery College for Women is an educational trust which was formed in 1984. The college is situated on the banks of the River Cauvery. Bharathidasan University is the Parent University for Cauvery College. The college provides 15 Undergraduate and 11 Postgraduate programmes and 3 M.Phil programmes.,"Cauvery College for Women, Annamalai Nagar, Tiruchirappalli - 620018, Tamilnadu, India","Bharathidasan University, Tiruchirappalli",Tamil Nadu,Private,1984,NA,"12, Degrees and , ,35, Courses",NAAC,Autonomous,Female,5133,220,NA,NA,https://www.careers360.com/colleges/cauvery-college-for-women-annamalai-nagar
"Chendhuran College of Engineering and Technology, Pudukkottai",NA,"Chendhuran College of Engineering and Technology, Lena Vilakku, Pilivalam Post, Thirumayam Tk, Pudukkottai, Tamil Nadu, Pincode: 622507, India","Anna University, Chennai",Tamil Nadu,Private,2006,NA,"2, Degrees and , ,10, Courses",NAAC,Affiliated,Co-ed,761,81,NA,"23, acres",https://www.careers360.com/colleges/chendhuran-college-of-engineering-and-technology-pudukkottai
"Central Polytechnic College, Tharamani",NA,"Central Polytechnic College, Tharamani, Chennai, Tamil Nadu 600113, India","Directorate of Technical Education, Chennai",Tamil Nadu,Government,1946,NA,NA,NA,Affiliated,NA,2794,22,NA,NA,https://www.careers360.com/colleges/central-polytechnic-college-tharamani
"Cauvery College of Engineering and Technology, Tiruchirappalli",NA,"Cauvery College of Engineering and Technology, Perur, Kulumani Road, Tiruchirappalli-639103, Tamil Nadu, India","Anna University, Chennai",Tamil Nadu,Private,2008,NA,"1, Degrees and , ,4, Courses",NA,Affiliated,Co-ed,NA,NA,NA,NA,https://www.careers360.com/colleges/cauvery-college-of-engineering-and-technology-tiruchirappalli
"Chandy Polytechnic College, Tuticorin",NA,"Chandy Polytechnic College, Chandy Nagar, Mullakkadu, Thoothukudi, Pincode-628005, Tamil Nadu, India","Directorate of Technical Education, Chennai",Tamil Nadu,Private,2005,NA,"1, Degrees and , ,6, Courses",NA,Affiliated,Co-ed,539,63,NA,"11, acres",https://www.careers360.com/colleges/chandy-polytechnic-college-tuticorin
"Chamber of Commerce Manali Ramakrishna Polytechnic College, Thanjavur",NA,"Chamber of Commerce Manali Ramakrishna Polytechnic College, Kuruvadi, Ramapuram Post, Thanjavur, Tamil Nadu, Pin code-613003, India","Directorate of Technical Education, Chennai",Tamil Nadu,Private,1984,NA,"1, Degrees and , ,6, Courses",NA,Affiliated,Co-ed,190,36,NA,"25, acres",https://www.careers360.com/colleges/chamber-of-commerce-manali-ramakrishna-polytechnic-college-thanjavur
"Central University of Tamil Nadu, Thiruvarur"," was established in 2009 by the Government of India, through an Act of Parliament. Central University of Tamil Nadu has a total campus size of 517 acres. The total number of faculties present at the institute is 129 with a total students enrollment of 2479. Central University of Tamil Nadu is recognised by the UGC. The institution offers a total of 69 courses in undergraduate, postgraduate and doctoral levels. Central University of Tamil Nadu admissions are offered based on the marks obtained in , (CUCET). Central University of Tamil Nadu offers a wide range of facilities and infrastructure to its students. Central University of Tamil Nadu also offers scholarships to students who have performed excellently well throughout their academic careers. Central University of Tamil Nadu offers placements to its students. The placement cell hosts a variety of guest lecturers as well as training programmes from industry specialists.","Central University of Tamil Nadu, Neelakudi, Thiruvarur – 610005, Tamil Nadu, India",NA,Tamil Nadu,Government,2009,CUET,"15, Degrees and , ,69, Courses",NAAC,UGC,Co-ed,2479,130,NA,"517, acres",https://www.careers360.com/university/central-university-of-tamil-nadu-thiruvarur
"Chendhuran Polytechnic College, Pudukkottai",NA,"Chendhuran Polytechnic College, Lena Vilakku, Pilivalam Post,Thirumayam Tk, Pudukkottai-622507, Tamil Nadu, India","Directorate of Technical Education, Chennai",Tamil Nadu,Private,2007,NA,NA,NA,Affiliated,NA,1484,71,NA,NA,https://www.careers360.com/colleges/chendhuran-polytechnic-college-pudukkottai
"Chendu College of Engineering and Technology, Kancheepuram",NA,"Chendu College of Engineering and Technology, Madurantakam, Chengalpet, Tamil Nadu, Pincode: 603311, India","Anna University, Chennai",Tamil Nadu,Private,2010,NA,"1, Degrees and , ,4, Courses",NA,Affiliated,Co-ed,342,65,NA,"11, acres",https://www.careers360.com/colleges/chendu-college-of-engineering-and-technology-kancheepuram
"Chennai Academy of Architecture and Design, Chennai",NA,"Chennai Academy of Architecture and Design, No.24, Thumbakkam, Chennai, Thirupathi Highway, Near Periyapalayam Amman Temple, Tamil Nadu, Pin code: 601102, India","Anna University, Chennai",Tamil Nadu,Private,2014,JEE Main,"2, Degrees and , ,2, Courses",NA,Affiliated,Co-ed,332,30,NA,"3, acres",https://www.careers360.com/colleges/chennai-academy-of-architecture-and-design-chennai
"Cheran Arts and Science College, Tirupur",NA,"Cheran Arts and Science College, Cheran Nagar, Thittuparai, Kangayam (tk), Tirupur -638701, Tamil Nadu, India","Bharathiar University, Coimbatore",Tamil Nadu,Private,1991,NA,"10, Degrees and , ,39, Courses",NA,Affiliated,NA,425,52,NA,"35, acres",https://www.careers360.com/colleges/cheran-arts-and-science-college-tirupur
"Cheran Polytechnic College, Namakkal",NA,"Cheran Polytechnic College, S.P.B Colony, Pallipalyam Kadachanalur, Erode, Namakkal-638010, Tamilnadu, India","Directorate of Technical Education, Chennai",Tamil Nadu,Private,2010,NA,"1, Degrees and , ,5, Courses",NA,Affiliated,Co-ed,440,43,NA,NA,https://www.careers360.com/colleges/cheran-polytechnic-college-namakkal
"Cheran College of Engineering, Karur",NA,"Cheran College of Engineering, Cheran Nagar, NH-67, Karur-Coimbatore Highway, K.Paramathi, Aravakuruchi Taluk, Karur-639111, Tamil Nadu, India","Anna University, Chennai",Tamil Nadu,Private,2012,NA,"1, Degrees and , ,5, Courses",NA,Affiliated,Co-ed,377,64,NA,"21, acres",https://www.careers360.com/colleges/cheran-college-of-engineering-karur
"Cheran College of Arts and Science, Kangayam",NA,"Cheran College of Arts and Science, Cheran nagar, 638701, Thittuparai, Kangayam, Tamil Nadu, India","Bharathiar University, Coimbatore",Tamil Nadu,Private,1991,NA,"9, Degrees and , ,32, Courses",NA,NA,NA,NA,NA,NA,NA,https://www.careers360.com/colleges/cheran-college-of-arts-and-science-kangayam
"Cheyyar Polytechnic College, Tiruvannamalai",NA,"Cheyyar Polytechnic College, Kulamandhai Village, Erumaivetti, Cheyyar, Talukpin, Thiruvannamalai-604401, Tamil Nadu, India","Directorate of Technical Education, Chennai",Tamil Nadu,Private,1998,NA,"1, Degrees and , ,5, Courses",NA,Affiliated,Co-ed,330,53,NA,"17, acres",https://www.careers360.com/colleges/cheyyar-polytechnic-college-tiruvannamalai
"Chettinad Academy of Research and Education, Kelambakkam",NA,"Chettinad Academy of Research and Education, Chettinad Health City Rajiv Gandhi Salai, Kelambakkam-603103, Tamil Nadu, India",NA,Tamil Nadu,Private,2008,NA,"18, Degrees and , ,74, Courses",NAAC,UGC,Co-ed,105,16,Male 46% and Female 54%,"33, acres",https://www.careers360.com/university/chettinad-academy-of-research-and-education-kelambakkam
"Cholan Institute of Technology, Kanchipuram",NA,"Cholan Institute of Technology, 16-Sembarambakkam karai Post, Kanchipuram-631501, Tamil Nadu, India","Directorate of Technical Education, Chennai",Tamil Nadu,Private,2008,NA,"1, Degrees and , ,5, Courses",NA,Affiliated,Co-ed,360,48,NA,NA,https://www.careers360.com/colleges/cholan-institute-of-technology-kanchipuram
"Christ the King Engineering College, Coimbatore",NA,"Christ the King Engineering College, Cecilia Gardens-Onnipalayam Road, Chikkarampalayam(PO), Karamadai, Coimbatore, Tamil Nadu, Pincode: 641104, India","Anna University, Chennai",Tamil Nadu,Private,2010,NA,"1, Degrees and , ,6, Courses",NA,Affiliated,Co-ed,675,65,Male 67% and Female 33%,"11, acres",https://www.careers360.com/colleges/christ-king-engineering-college-coimbatore
"Christ The King Polytechnic College, Coimbatore",NA,"Christ The King Polytechnic College, Pollachi Main Road, Premier Nagar, Othakkalmandapam, Coimbatore, Tamil Nadu, Pin code: 641032, India","Directorate of Technical Education, Chennai",Tamil Nadu,Private,1985,NA,"1, Degrees and , ,7, Courses",NA,Affiliated,Co-ed,843,62,NA,"17, acres",https://www.careers360.com/colleges/christ-king-polytechnic-college-coimbatore
"Christian College of Engineering and Technology, Dindigul",NA,"Christian College of Engineering and Technology, Palani-Dindigul Main Road, Oddanchatram, Dindigul, Tamil Nadu, Pincode: 624619, India","Anna University, Chennai",Tamil Nadu,Private,2001,NA,"3, Degrees and , ,12, Courses",NA,Affiliated,Co-ed,776,108,Male 69% and Female 31%,"14, acres",https://www.careers360.com/colleges/christian-college-of-engineering-and-technology-dindigul
"Coimbatore Institute of Engineering and Technology, Coimbatore"," was established in the year 2001. The campus is spread over 26.5 acres of land. It is a private co-educational institute. CIET is approved by the All India Council for Technical Education. The institute is accredited by the NAAC. Total 165 faculty members are available at the institute and the total students enrolled is 983. The mission and the vision of the institute is to improve the quality of technical ingenuity, practising-skill, self-esteem of Techno-professionals. CIET is affiliated to ,.","Coimbatore Institute of Engineering and Technology, Narasipuram (P.O), Thondamuthur(Via), Vellimalaipattinam, Coimbatore - 641109, Tamil Nadu, India","Anna University, Chennai",Tamil Nadu,Private,2001,TANCET,"3, Degrees and, ,12, Courses",NAAC,Affiliated,Co-ed,983,165,NA,"27, acres",https://www.careers360.com/colleges/coimbatore-institute-of-engineering-and-technology-coimbatore
"Christian Polytechnic College, Oddanchatram",NA,"Christian Polytechnic College, Near Checkpost, Dindugal Road, Oddanchatram, Zipcode 624619, Tamil Nadu, India","Directorate of Technical Education, Chennai",Tamil Nadu,Private,1984,NA,"1, Degrees and , ,6, Courses",NA,Affiliated,Co-ed,848,58,NA,"11, acres",https://www.careers360.com/colleges/christian-polytechnic-college-oddanchatram
"Coimbatore Marine College, Coimbatore",NA,"Coimbatore Marine College, 296, Pollachi Main Road, Myleripalayam, Othakkalmandapam (Post), Coimbatore -641032, Tamil Nadu, India","Indian Maritime University, Chennai",Tamil Nadu,Private,2001,IMU CET,"5, Degrees and , ,7, Courses",NA,Affiliated,Co-ed,NA,40,NA,"10, acres",https://www.careers360.com/colleges/coimbatore-marine-college-coimbatore
"College of Food and Dairy Technology, Koduvalli, Thiruvallur",NA,"College of Food and Dairy Technology, Koduvalli, Thiruvallur, Alamathi P.O.Red Hills, Chennai-600052, Thiruvallur, Tamil Nadu, India","Tamil Nadu Veterinary and Animal Sciences University, Chennai",Tamil Nadu,Government,1992,NA,"8, Degrees and , ,16, Courses",NA,Constituent,Co-ed,153,21,NA,"82, acres",https://www.careers360.com/colleges/college-of-food-and-dairy-technology-koduvalli-thiruvallur
"College of Fisheries Engineering, Nagapattinam",NA,"College of Fisheries Engineering, Nagapattinam, TNJFU Campus, Vettar River View Campus, Panangudi, Zipcode 611002, Tamil Nadu, India","Tamil Nadu Dr J Jayalalithaa Fisheries University, Nagapattinam",Tamil Nadu,Government,2012,NA,"1, Degrees and , ,2, Courses",NA,Constituent,NA,113,11,NA,"35, acres",https://www.careers360.com/colleges/college-of-fisheries-engineering-nagapattinam
"College of Engineering, Guindy","The College of Engineering, Guindy (CEG), was established in 1794. The college is affiliated to ,. College of Engineering, Guindy is spread over an area of 223 acres. It is a government college and the courses offered by the college have approval from AICTE. The total number of faculty members there in the college is 304 and the total student enrollment is 7883.","College of Engineering Guindy, 12, Sardar Patel Rd, Guindy Chennai - 600025, Tamil Nadu, India","Anna University, Chennai",Tamil Nadu,Government,1859,TANCET,"7, Degrees and, ,75, Courses",NA,Constituent,Co-ed,7883,304,NA,"223, acres",https://www.careers360.com/colleges/college-of-engineering-guindy
"College of Poultry Production and Management, Hosur",NA,"College of Poultry Production and Management, Hosur - 635110, Tamil Nadu, India","Tamil Nadu Veterinary and Animal Sciences University, Chennai",Tamil Nadu,Government,2012,NA,"1, Degrees and , ,1, Courses",NA,Constituent,NA,84,14,NA,"80, acres",https://www.careers360.com/colleges/college-of-poultry-production-and-management-hosur
"DMI College of Engineering, Chennai",NA,"DMI College of Engineering, Palanchur, Nazarethpet Post, Chennai, Tamil Nadu, Pincode: 600123, India","Anna University, Chennai",Tamil Nadu,Private,2001,NA,"3, Degrees and , ,13, Courses",NA,Affiliated,Co-ed,1444,161,NA,"55, acres",https://www.careers360.com/colleges/dmi-college-of-engineering-chennai
"Crescent School of Architecture, Chennai",NA,"Crescent School of Architecture, BS Abdur Rahman Institute of Science and Technology, Vandalur, Chennai, Pincode-600048, Tamil Nadu, India","BS Abdur Rahman Crescent Institute of Science and Technology, Chennai",Tamil Nadu,Private,2010,NA,"3, Degrees and , ,3, Courses",NA,Constituent,Co-ed,NA,41,NA,NA,https://www.careers360.com/colleges/crescent-school-of-architecture-chennai
"DOT School of Design, Chennai",NA,"DOT School of Design, 10/7, 3rd Main road, Off Chennai Bypass Road, Ambattur Industrial Estate - South Phase, Chennai, Tamil nadu-600058, India","Alagappa University, Karaikudi",Tamil Nadu,Private,NA,NA,"5, Degrees and , ,18, Courses",NA,Affiliated,Co-ed,NA,20,NA,NA,https://www.careers360.com/colleges/dot-school-of-design-chennai
"Devangar Polytechnic College, Theni",NA,"Devangar Polytechnic College, Devangar Polytechnic College,D.Vadipatti (Village),Periyakulam To Madurai Main Road,Periyakulam (TK),Theni - Dist Pin - 625602.","Directorate of Technical Education, Chennai",Tamil Nadu,Private,2010,NA,"1, Degrees and, ,5, Courses",NA,Affiliated,Co-ed,622,48,NA,"6, acres",https://www.careers360.com/colleges/devangar-polytechnic-college-theni
"DPC Polytechnic College, Salem",NA,"DPC Polytechnic College, Chettiyar Kadai Bus Stop, Muthunaickenpatti, Pagalpatti, Salem-636304, Tamil Nadu, India","Directorate of Technical Education, Chennai",Tamil Nadu,Private,1998,NA,"1, Degrees and , ,6, Courses",NA,Affiliated,Co-ed,467,55,NA,"12, acres",https://www.careers360.com/colleges/dpc-polytechnic-college-salem
"DMI Engineering College, Kanyakumari",NA,"DMI Engineering College, Kumarapuram Road, Aralvaimozhi, Kanyakumari, Tamil Nadu, Pincode: 629301, India","Anna University, Chennai",Tamil Nadu,Private,2009,NA,"2, Degrees and , ,7, Courses",NA,Affiliated,Co-ed,1005,74,NA,"5, acres",https://www.careers360.com/colleges/dmi-engineering-college-kanyakumari
"Department of Computer Science and Engineering, Manonmaniam Sundaranar University, Tirunelveli",NA,"Department of Computer Science and Engineering, Manonmaniam Sundaranar University, Abishekapatti, Tirunelveli-627012, Tamil Nadu, India","Manonmaniam Sundaranar University, Tirunelveli",Tamil Nadu,Government,2001,NA,"4, Degrees and , ,10, Courses",NA,NA,Co-ed,87,12,NA,NA,https://www.careers360.com/colleges/department-of-computer-science-and-engineering-manonmaniam-sundaranar-university-tirunelveli
"Davinci School of Design and Architecture, Chennai",NA,"Davinci School of Design and Architecture, Rajivi Gandhi Salai, Old Mahabalipuram Road, Karapakkam, Chennai, Tamil Nadu, Pin code: 600097, India","Anna University, Chennai",Tamil Nadu,Private,2012,NA,"1, Degrees and , ,1, Courses",NA,Affiliated,Co-ed,109,43,NA,"2, acres",https://www.careers360.com/colleges/davinci-school-of-design-and-architecture-chennai
"Dhaanish Ahmed College of Engineering, Chennai",NA,"Dhaanish Ahmed College of Engineering, Dhaanish Nagar Vanchuvancherry, Padappai, near Tambaram, Pincode: 601301, Chennai, Tamil Nadu, India","Anna University, Chennai",Tamil Nadu,Private,2002,NA,"2, Degrees and, ,10, Courses",NAAC,Affiliated,Co-ed,714,147,NA,"30, acres",https://www.careers360.com/colleges/dhaanish-ahmed-college-of-engineering-chennai
"Dhaanish Ahmed Institute of Technology, Coimbatore",NA,"Dhaanish Ahmed Institute of Technology, Dhaanish Avenue, Verappanur, K.G. Chavadi, Pincode 641105, Coimbatore, Tamil Nadu, India","Anna University, Chennai",Tamil Nadu,Private,2013,NA,"1, Degrees and , ,8, Courses",NA,Affiliated,Co-ed,280,60,NA,"13, acres",https://www.careers360.com/colleges/dhaanish-ahmed-institute-of-technology-coimbatore
"Dhanalakshmi Srinivasan College of Engineering, Coimbatore",NA,"Dhanalakshmi Srinivasan College of Engineering, NH-47 Palakkad Main Road, Navakkarai Post, Pincode: 641105, Coimbatore, Tamil Nadu, India","Anna University, Chennai",Tamil Nadu,Private,2008,TANCET,"2, Degrees and , ,12, Courses",NA,Affiliated,Co-ed,1781,190,Male 84% and Female 16%,"12, acres",https://www.careers360.com/colleges/dhanalakshmi-srinivasan-college-of-engineering-coimbatore
"Dharmapuram Adhinam Arts College, Mayiladuthurai",NA,"Dharmapuram Adhinam Arts College, Tharangambadi Road, Dharmapuram, Mayiladuthurai-609001, Tamilnadu, India","Annamalai University, Annamalai Nagar",Tamil Nadu,Private,1946,NA,"13, Degrees and , ,39, Courses",NA,Affiliated,Co-ed,NA,93,NA,"8, acres",https://www.careers360.com/colleges/dharmapuram-adhinam-arts-college-mayiladuthurai
"Dharmamurthi Rao Bahadur Calavala Cunnan Chetty's Hindu College, Chennai",NA,"Dharmamurthi Rao Bahadur Calavala Cunnan Chettys Hindu College, Dharmamurthy Nagar, Pattabiram, Chennai-600072, Tamil Nadu, India","University of Madras, Chennai",Tamil Nadu,Private,1969,NA,"9, Degrees and , ,28, Courses",NAAC,Affiliated,Co-ed,4621,124,NA,"31, acres",https://www.careers360.com/colleges/dharmamurthi-rao-bahadur-calavala-cunnan-chettys-hindu-college-chennai
"Dhanalakshmi Srinivasan Polytechnic College, Perambalur",NA,"Dhanalakshmi Srinivasan Polytechnic College, Thuraiyur Road, Perambalur-621212, Tamil Nadu, India","Directorate of Technical Education, Chennai",Tamil Nadu,Private,1998,NA,"1, Degrees and , ,7, Courses",NA,Affiliated,Co-ed,1441,84,NA,"11, acres",https://www.careers360.com/colleges/dhanalakshmi-srinivasan-polytechnic-college-perambalur
"Dhanalakshmi Srinivasan College of Engineering, Perambalur",NA,"Dhanalakshmi Srinivasan College of Engineering, Thuraiyur Road, Perambalur- 621212, Tamil Nadu, India","Anna University, Chennai",Tamil Nadu,Private,2001,NA,"4, Degrees and , ,21, Courses",NA,Affiliated,Co-ed,2391,190,NA,"11, acres",https://www.careers360.com/colleges/dhanalakshmi-srinivasan-college-of-engineering-perambalur
"Dhanalakshmi Srinivasan University, Tiruchirappalli",NA,"Dhanalakshmi Srinivasan University, NH-45, Trichy Chennai Trunk Road, Samayapuram, Near Samayapuram Toll Plaza, Tiruchirappalli-621112, Tamil Nadu, India",NA,Tamil Nadu,Private,2021,NA,"12, Degrees and , ,43, Courses",NA,UGC,Co-ed,250,20,NA,"100, acres",https://www.careers360.com/university/dhanalakshmi-srinivasan-university-tiruchirappalli
"Dhanalakshmi Srinivasan Engineering College, Perambalur",NA,"Dhanalakshmi Srinivasan Engineering College, Thuraiyur Road, Perambalur-621212, Tamil Nadu, India","Anna University, Chennai",Tamil Nadu,Private,2001,TANCET,"4, Degrees and , ,22, Courses",NAAC,Affiliated,Co-ed,2391,418,Male 64% and Female 36%,"11, acres",https://www.careers360.com/colleges/dhanalakshmi-srinivasan-engineering-college-perambalur
"Dhanalakshmi Srinivasan Institute of Research and Technology, Perambalur",NA,"Dhanalakshmi Srinivasan Institute of Research and Technology, Siruvachur, Perambalur, Pincode 621113, Tamil Nadu, India","Anna University, Chennai",Tamil Nadu,Private,2012,NA,"2, Degrees and , ,5, Courses",NA,Affiliated,Co-ed,1187,50,NA,"16, acres",https://www.careers360.com/colleges/dhanalakshmi-srinivasan-institute-of-research-and-technology-perambalur
"Dhanalakshmi Srinivasan Institute of Technology, Tiruchirappalli",NA,"Dhanalakshmi Srinivasan Institute of Technology, NH-45, Trichy Chennai Trunk Road, (Near Samayapuram Toll Plaza) Samayapuram, Pincode 621112, Tiruchirapalli, Tamil Nadu, India","Anna University, Chennai",Tamil Nadu,Private,2012,TANCET,"3, Degrees and , ,8, Courses",NA,Affiliated,Co-ed,1231,156,NA,"11, acres",https://www.careers360.com/colleges/dhanalakshmi-srinivasan-institute-of-technology-tiruchirappalli
"Don Bosco Polytechnic College, Chennai",NA,"Don Bosco Polytechnic College, No.106, D Castor Road, Basin Bridge, Chennai-600012, Tamil Nadu, India","Directorate of Technical Education, Chennai",Tamil Nadu,Private,2013,NA,"1, Degrees and , ,5, Courses",NA,Affiliated,Co-ed,336,3,NA,"2, acres",https://www.careers360.com/colleges/don-bosco-polytechnic-college-chennai
"Dhaya College of Engineering, Madurai",NA,"Dhaya College of Engineering, Sivarakottai (Post), Thirumangalam (Taluk), Madurai (Dist), Tamil Nadu, India","Anna University, Chennai",Tamil Nadu,Private,NA,NA,NA,NA,Affiliated,Co-ed,NA,NA,NA,NA,https://www.careers360.com/colleges/dhaya-college-of-engineering-madurai
"Don Bosco Polytechnic College, Thirukazhukundram",NA,"Don Bosco Polytechnic College, Mamallapuram Road, Kothimangalam, Thirukazhukundram-603109, Tamil Nadu, India","Directorate of Technical Education, Chennai",Tamil Nadu,Private,2009,NA,"1, Degrees and , ,5, Courses",NA,Affiliated,Co-ed,348,40,NA,"17, acres",https://www.careers360.com/colleges/don-bosco-polytechnic-college-thirukazhukundram
"Dr GU Pope College of Engineering, Thoothukudi",NA,"Dr GU Pope College of Engineering, Pope Nagar, Sawyerpuram, Tuticorin-628251, Tamil Nadu, India","Anna University, Chennai",Tamil Nadu,Private,2002,NA,"1, Degrees and , ,5, Courses",NA,Affiliated,Co-ed,546,66,NA,"12, acres",https://www.careers360.com/colleges/dr-gu-pope-college-of-engineering-thoothukudi
"Dhivya Polytechnic College, Tiruvannamalai",NA,"Dhivya Polytechnic College, Chetpet, Thiruvannamalai District-606801, Tamil Nadu, India","Directorate of Technical Education, Chennai",Tamil Nadu,Private,2008,NA,"1, Degrees and , ,6, Courses",NA,Affiliated,Co-ed,424,64,NA,"6, acres",https://www.careers360.com/colleges/dhivya-polytechnic-college-tiruvannamalai
"Dr GR Damodaran College of Science, Coimbatore",NA,"Dr GR Damodaran College of Science, Avinashi Road, Civil Aerodrome Post, Coimbatore - 641014, Tamil Nadu, India","Bharathiar University, Coimbatore",Tamil Nadu,Private,1988,TANCET,"13, Degrees and, ,57, Courses",NA,Autonomous,Co-ed,4217,165,NA,"15, acres",https://www.careers360.com/colleges/dr-gr-damodaran-college-of-science-coimbatore
"Dr Dharmambal Government Polytechnic College for Women, Chennai",NA,"Dr Dharmambal Government Polytechnic College for Women, Tharamani, Chennai-600113, Tamil Nadu, India","Directorate of Technical Education, Chennai",Tamil Nadu,Government,1962,NA,"1, Degrees and , ,9, Courses",NA,Affiliated,Female,430,18,NA,"19, acres",https://www.careers360.com/colleges/dr-dharmambal-government-polytechnic-college-for-women-chennai
"Dhirajlal Gandhi College of Technology, Salem","was established by Shri Dhirajial A. Gandhi through an engineering consultancy, Mukesh and Associates in the year 2011. The institute is also known as DGCT Salem. DGCT Salem is affiliated to Anna University and is approved by All India Council for Technical Education Department of Higher Education, Ministry of Human Resource Development. Dhirajlal Gandhi College of Technology, Salem offers undergraduate and postgraduate courses to the students in the field of engineering.","Dhirajlal Gandhi College of Technology, Opposite Salem Airport, Sikkanampatty (PO), Omalur (Tk), Salem - 636309, Tamil Nadu, India","Anna University, Chennai",Tamil Nadu,Private,2011,NA,"4, Degrees and, ,19, Courses",NAAC,Affiliated,Co-ed,1824,168,Male 70% and Female 30%,"10, acres",https://www.careers360.com/colleges/dhirajlal-gandhi-college-of-technology-salem
