exam_name,about,full_exam_name,short_exam_name,conducting_body,freq_of_conduct,exam_level,languages,mode_of_application,application_fee,mode_of_exam,mode_of_counselling,exam_duration,number_of_seats,education,age,website_link,exam_pattern
Kerala Police Constable Exam,"Kerala Public Service Commission (KPSC) will conduct the Kerala Police Constable exam. Registrations for Kerala PSC Constable is done in online mode.  Applicants will be required to click on 'One Time Registration' if they do not have an account at the Kerala Public Service Commission official website. There is no application fee for KPSC Police Constable exam. If aspirants have an Aadhar card, they should provide that as their ID on their profile while applying.",Kerala Police Constable Exam,Kerala Police Constable,Kerala Public Service Commission,Once a year,NA,"English, Kannada ",Online,NA,Offline,NA,NA,NA,NA,NA,NA,"It is important to carry the KPSC Police Constable admission ticket along with you to the exam hall or else you will not be allowed to give the exam.  Admission ticket for Kerala PSC Police Constable will be available on the official website, link to which has been given below. To access the admit card, follow the steps given below:, Click on the link provided on this page., Provide your login credentials used at the time of registration., Click on link reading download admission ticket., Your Kerela PSC Police Constable admission ticket will load on the screen., Download and save your admit card for further uses."
IBPS RRB Exam," Institute of Banking Personnel Selection will release the IBPS RRB notification 2023 online on the official website. Along with the notification, the board will also release the IBPS RRB application form 2023 in online mode at ibps.in. ",Institute of Banking Personnel Selection Common Recruitment Process for Regional Rural Banks,IBPS RRB,Institute of Banking Personnel Selection,Once a year,NA,"English, Hindi",Online,850 Rs ,Online,Offline,NA, : 10190 Seats ,NA,NA,NA,"IBPS RRB 2023 prelims exam is held for Office Assistants and Officer Scale I posts. It's not held for Officer Scale-II and III. For the post of Officer Scale I in the preliminary exam, the candidates have to answer a total of 80 questions for 80 marks in 45 minutes.,The prelims for this post has only two sections - Reasoning and Quantitative Ability, while the paper for Office Assistant (Multipurpose) has Reasoning and Numerical Ability for 40 questions each against 80 marks in total. Candidates have to answer objective-type questions which will be asked in either English or Hindi. Each correct answer will fetch 1 mark, while each incorrect answer will lead to the deduction of 0.25 or 1/4th marks.,IBPS RRB mains exam for Office Assistant has Reasoning, Numerical Ability, General Awareness, English/Hindi Language and Computer Knowledge. Except for Quantitative Aptitude in place of Numerical Ability, the paper for Officer Scale I, has all the sections similar to Office Assistant (Multipurpose). Each section carries 40 questions for 40 marks, which makes it a total of 200 questions for 200 marks. Candidates have to complete the test in 2 hours. Every correct answer will get 1 mark, while any wrong answer will fetch -0.25 marks."
NMRC Non Executive Post Exam,"Noida Metro Rail Corporation Non-Executive Exam is conducted by Delhi Metro Rail Corporation (DMRC) on behalf of Noida Metro Rail Corporation (NMRC). The exam is conducted for the recruitment of Station Controller/Train Operator, Customers Relations Assistant, Junior Engineer, Accountant Assistant, Office Assistant, Stenographer and Maintainer posts in NMRC. Interested candidates must meet the minimum eligibility criteria for each post and must be Indian citizens in order to appear for NMRC exam for Non-Executive posts. It is also essential to know the entire details such as the number of vacancies are there for each post, selection procedure and fill the application form of NMRC Non-Executive recruitment exam before the deadline.  ",Noida Metro Rail Corporation Non Executive Exam,NMRC Non Executive Post,Noida Metro Rail Corporation,Once a year,NA,English,Offline / Online,400 Rs ,Online and Offline,NA,NA,NA,NA,NA,NA,NA
TS SET Exam,NA,Telangana State Eligibility Test,TS SET,Osmania University,NA,NA,"English, Telugu",Online,2000 Rs ,Offline,NA,NA,NA,NA,NA,NA,NA
UPSC IFS Exam," Union Public Service Commission has released the UPSC IFS notification 2023 on February 1 on the official website - upsconline.nic.in. The commission has also released the UPSC IFS application form 2023. Candidates can fill and submit the UPSC IFS 2023 application form by February 21, 2023. ",Union Public Service Commission Indian Forest Service Exam,UPSC IFS,Union Public Service Commission,Once a year,NA,"English, Hindi",Online,100 Rs ,Offline,Offline,NA,150 Seats,NA,NA,NA,"The exam pattern of UPSC IFS prelims exam will be provided by UPSC along with the notification. The exam will comprise two papers of 200 marks each. Questions asked in Prelims will be objective type questions. As per the marking scheme, one mark will be awarded to candidates for correct responses while 0.33 mark will be deducted for wrong answers. The exam pattern of UPSC IFS is provided in the table below.,The Mains exam will comprise six papers and each paper will be held for 3 hours. All questions asked in the exam will be conventional type questions. The exam pattern of UPSC IFS is provided below."
TNPSC Group 4 Exam," Tamil Nadu Public Service Commission will release the TNPSC Group 4 result 2023 online by end of March 2023 on the official website - tnpsc.gov.in. The exact TNPSC Group 4 result date 2022 will be announced soon by the commission. Earlier, the commission closed the TNPSC Group 4 2023 answer key objection window online on August 8, 2022 (5.45 PM). The provisional TNPSC Group 4 answer key 2023 has been released online on August 1. ",Tamil Nadu Public Service Commission Combined Civil Services Exam Group 4,TNPSC Group 4,Tamil Nadu Public Service Commission,Once a year,NA,"English, Tamil",Offline / Online,100 Rs ,Offline,Offline,3 Hours,7301 Seats,NA,NA,http://www.tnpsc.gov.in/,"The hall ticket of TNPSC Group 4 has been released in online mode on July 14 on the official website. TNPSC Group 4 hall ticket 2023 can be downloaded by logging with their application ID and date of birth. The examination authority will not sent the hard copy of TNPSC hall ticket 2023 by post. The admit card is issued to candidates who successfully register for the exam.,Candidates are able to download their admit card till the day of their exam. The hall ticket carries information like candidate’s name, roll number, registration number, date of birth, photograph, signature, date, time, city etc. In case of any error in TNPSC Group 4 hall ticket/admit card, candidates should contact the examination officials for correction."
Rajasthan ACF and Forest Range Officer Exam,"Rajasthan Public Service Commission (RPSC) conducts the Rajasthan ACF and Forest Range Officer exam to recruit Grade 1 officers for the Forest Department, Government of Rajasthan. To apply for RPSC ACF and Forest Range Officer Grade - 1 exam, candidates must have a Bachelor's Degree from a recognised University with at least one of the subjects namely Botany, Animal Husbandry & Veterinary Science, Computer Application/Science, Chemistry, Environmental Science, Horticulture, Mathematics, Physics, Geology, Statistics and Zoology or a Bachelor’s degree in Forestry, Agriculture or in Engineering. Also, candidates must have a working knowledge of Hindi written in Devanagari script and knowledge of the Rajasthani culture. ",Rajasthan ACF and Forest Range Officer Exam,Rajasthan ACF and Forest Range Officer,Rajasthan Public Service Commission,NA,NA,English,Online,NA,Offline,Offline,3 Hours,NA,NA,NA,NA,NA
SBI Clerk Exam,"State Bank of India has declared the SBI Clerk mains result 2023 online on March 10 on the official website at sbi.co.in. Earlier, SBI declared the SBI Clerk result 2022 for prelims exam in online on January 2, 2023. The SBI Clerk admit card 2022 for main exam has been issued on December 31, 2022. The SBI Clerk main exam was held on January 15, 2023. ",State Bank of India Clerk Examination,SBI Clerk,State Bank of India,Vacancy Based,NA,"English, Hindi",Online,750 Rs ,Online,Online / Offline,3 Hours 24 Minutes,5486 Seats,NA,NA,NA,NA
AFCAT Exam," The Indian Air Force (IAF) has declared the AFCAT 1 result 2023 online on March 13 on the official website at afcat.cdac.in. IAF successfully concluded the AFCAT 1 exam 2023 in online mode on February 26 at various exam centres across the country. IAF conducted the AFCAT 1 2023 exam from February 24 to 26. Earlier, IAF has issued the AFCAT 1 admit card 2023 online on February 10 (11 AM). ",Air Force Common Admission Test,AFCAT,Indian Air Force,2 times a year,NA,English,Online,250 Rs ,Online,Online / Offline,2 Hours 27 Minutes,NA,NA,NA,NA,NA
TN TRB Assistant Professor Exam,"Tamil Nadu Teachers Recruitment Board will conduct the TN TRB Assistant Professor 2019 exam for 2331 Assistant Professors for Government Arts & Science Colleges and Colleges of Education. To apply for TN TRB Assistant Professor 2019, candidates were required to fill and submit the application form from October 04 to November 15, 2019, 05:00 PM. Registered candidates have to appear in a certificate verification followed by an Interview. Candidates should not have completed 57 years as on 01-07-2019 as the age of superannuation is 58 years. The selected candidates will be on the Pay Scale: Rs. 57,700 – 1,82,400 – Level 10.",Tamil Nadu Teachers Recruitment Board Assistant Professor,TN TRB Assistant Professor,Teachers Recruitment Board Tamil Nadu,Vacancy Based,NA,"English, Tamil",Online,600 Rs ,Offline,Offline,3 Hours,2331 Seats,NA,NA,NA,NA
SSC MTS Exam," The Staff Selection Commission will issue the SSC MTS admit card 2023 for tier 1 soon on the official website at ssc.nic.in. Earlier, the commission has deactivated the SSC MTS  application form correction window 2023 online on March 3 on the official website.",Staff Selection Commission Multi Tasking Staff Exam,SSC MTS,Staff Selection Commission,Once a year,NA,"English, Hindi",Online,100 Rs ,Online and Offline,NA,NA,12523 Seats,NA,NA,NA,"The Staff Selection Commission (SSC) mentioned the exam pattern in the official notification. Candidates planning to appear in the SSC MTS exam must go through the exam pattern to prepare and score better. The exam pattern comprises the stages, subjects on which the question paper will be based, marking scheme, time duration of the exam.,As per the exam pattern, the SSC MTS exam consists of Computer Based Examination (CBE), Physical Efficiency Test (PET)/ Physical Standard Test (PST) (only for the post of Havaldar).,The SSC MTS exam for CBE will consist of objective type, multiple choice questions and it will be conducted in Hindi, English and in 13 regional languages such as Assamese, Bengali, Gujarati, Kannada, Konkani, Malayalam, Manipuri, Marathi, Odia, Punjabi, Tamil, Telugu and Urd.,As per the SSC MTS exam pattern 2023, The CBE will be conducted in two sessions, session-I and session-II. There is no negative marking in session-I. However, in Session-II, there will be a negative marking of one mark for each wrong answer. It is mandatory to attempt both sessions. If not attempting any session will disqualify the candidate."
Mizoram MCS Exam,"Mizoram Public Service Commission, better known as MPSC conducts the MPSC exam annually to select candidates for various posts pertaining to government jobs in Mizoram. Candidates must fulfill the eligibility criteria in order to appear for the exam. MPSC is conducted in three stages - Prelims, Mains and Personal Interview.  Candidates are required to qualify in all stages of exam in order to get recruited to various posts released by the exam conducting body. Also, the final merit list is prepared on the basis of marks secured in mains exam and personal interview.",Mizoram Civil Services Exam,Mizoram MCS,Mizoram Public Service Commission,Once a year,NA,English,Offline,300 Rs ,Offline,Offline,NA,NA,NA,NA,NA,Mizoram Civil Services Examination admit card will be issued by the Mizoram Public Service Commission (MPSC) admit card will be issued only to the candidates who successfully register for the MCS preliminary examination. It is a mandate for all prospective test takers to carry the MCS admit card for preliminary examination on the day of the test.
TS Junior Panchayat Secretary Exam,"The result of Telangana Junior Panchayat Secretary has been declared on December 19 along with the district-wise selection list. The answer key of Telangana Junior Panchayat Secretary for Paper 1 and 2 was released on October 18 and candidates could raise objections against the question papers till October 20. Candidates can check their OMR sheet from December 21 by entering hall ticket/registration number and date of birth. Telangana Junior Panchayat Secretary was conducted on October 10 in two shifts. The paper I was conducted in the morning shift while Paper II was held in the afternoon shift. Selection of candidates for appointment to the various posts was done based on their marks in Paper 1 and 2. Candidates qualifying the exam will be called for verification of certificates and medical examination. Telangana Junior Panchayat Secretary recruitment is conducted to select candidates for the post of Junior Panchayat Secretary in Panchayat Raj Department, Telangana. As many as 9355 vacancies are filled through this recruitment exam.",Telangana State Junior Panchayat Secretary Exam,TS Junior Panchayat Secretary,Telangana Panchayat Raj and Rural Development,Vacancy Based,NA,"English, Telugu ",Online,800 Rs ,Offline,Offline,NA,9355 Seats,NA,NA,NA,NA
APPSC Panchayat Secretary Exam,"Andhra Pradesh Public Service Commission (APPSC) conducts APPSC Panchayat Secretary recruitment to select candidates for the post of Panchayat Secretary (Grade IV) in AP Panchayat Raj Subordinate Service. Candidates selected through this recruitment exam are entitled to a pay scale of Rs 16,400 to 49,870. As many as 1051 vacancies are expected to be filled through this recruitment exam. To be eligible for the exam, candidates will have to fulfil certain eligibility criteria laid down by APPSC for the recruitment exam. APPSC Panchayat Secretary 2019 selection process includes – screening test and mains exam. The screening test is conducted in case the number of applicants is more than 25000. The mains examination is conducted for candidates selected on the basis of their performance in the screening test. Candidates will be selected to the post of Panchayat Secretary based on their performance in mains examination.",Andhra Pradesh Public Service Commission Panchayat Secretary Exam,APPSC Panchayat Secretary,Andhra Pradesh Public Service Commission,Vacancy Based,NA,NA,Online,330 Rs ,Online and Offline,Online / Offline,NA,1051 Seats,NA,NA,NA,"APPSC Panchayat Secretary admit card is released online. Candidates have to enter the required login credentials to download APPSC Panchayat Secretary 2019 hall ticket. The admit card contains candidates name, roll number, category, date of birth, photograph, signature, date, time and exam centre. No admit card is not sent to candidates by post. APPSC Panchayat Secretary admit card 2019 will be issued to candidates who submit their application form successfully. To appear for the exam, candidates have to carry photo-identity proof along with the printed copy of admit card."
Vizag Steel Junior Trainee Exam,"Rashtriya Ispat Nigam Limited (RINL) has released the result of Vizag Steel Junior Trainee exam on October 27, 2019. The result has been announced for the computer based test conducted on September 7 and 8, 2019. The exam authorities conducts the exam of Vizag Steel Junior Trainee exam for the recruitment of Junior Trainee in Mechanical, Instrumentation, Electrical and Metallurgy branches. In order to appear in  Vizag Steel Junior Trainee exam, candidates must be matriculate or SSC with full time ITI or Diploma in Engineering. The selection procedure of Vizag Steel Junior Trainee involves Online Computer Based Test followed by Certificate Verification and Medical Examination.",Vizag Steel Junior Trainee,NA,Rashtriya Ispat Nigam Limited Visakhapatnam,NA,NA,"English, Telugu",Online,354 Rs ,Online,Online / Offline,2 Hours,664 Seats,NA,NA,NA,"The admit card of Vizag Steel Junior Trainee was available from August 29, 2019. Candidates could download the admit card till the day of examination. To download Vizag Steel Junior Trainee admit card candidates have to enter the registration id and password. The admit card has details like time, venue,  date of the Online Test. Candidates will have to carry their admit along with any photo- identity proof on the day of examination."
WBSET Exam,"WBSET 2022 - The West Bengal College Service Commission (WBCSC) has released the WB SET application form in online mode on on August 16, 2022 the official website - wbcsconline.in. Candidates can apply online for West Bengal State Eligibility Test 2022 (WB SET 2022) till September 15, 2022. According to the WB SET exam dates 2022, the exam is scheduled to be conducted on January 8, 2023.",West Bengal State Eligibility Test,WBSET,West Bengal College Service Commission,Vacancy Based,NA,"Bengali, English ",Online,1200 Rs ,Offline,Offline,3 Hours,NA,NA,NA,NA,"WB SET 2018 exam will have 2 papers – paper I and paper II. Both the papers are compulsory and will be held separately in 2 sessions, in offline mode. Paper 1 is held for 1 hour wherein candidates have to answer 50 objective type questions. Each correct answer will get 2 marks. There is no negative marking in WB SET 2018. The questions in Paper I will be general in nature, intended to assess the teaching, research aptitude of the candidate. Paper I questions are designed to test reasoning ability, divergent thinking, comprehension, and general awareness of the candidate.,Paper II of WB SET 2018 will have 100 questions which need to be answered in 2 hours. All questions are compulsory and candidates will get 2 marks for each correct answer. Like Paper I, Paper II will also not have any negative marking and will be held in offline mode. Questions in this paper will be asked from the subject which candidates have opted for."
Indian Army Soldiers General Duty Exam Exam,"The Indian Army conducts the Indian Army Soldiers General Duty (NER) exam 2019 four times a year. Candidates who apply for Indian Army Soldiers General Duty exam 2019 must go for a 1.6 km run and other physical and medical tests before giving the written exam. The dates and schedule of recruitment rallies for Indian Army Soldiers General Duty 2019 is published in leading newspapers. Candidates can obtain Indian Army Soldiers General Duty exam 2019 application form from local recruitment offices, District Collector's office, employment exchanges, etc. However, aspirants can also send handwritten/ typed applications in the prescribed format. Indian army aspirants must make sure that they reach the rally site with all the important documents like class X/ XII mark sheet, character certificate, domicile certificate, etc. in original and two attested photocopies. The Indian Army Soldiers General Duty exam 2019 eligibility criteria requires candidates to have passed at least class X with 45% marks overall and 33% in each subject. The physical eligibility criteria differs from region to region. A candidate must be physically and mentally fit.",Indian Army Soldiers General Duty (NER) Exam,Indian Army Soldiers General Duty Exam,Indian Army,Vacancy Based,NA,NA,Offline,NA,Offline,NA,1 Hour,NA,NA,NA,NA,NA
UPTET Exam," UPBEB will release the official UPTET notification 2023 soon on the official website. Along with the UPTET notification, the board will also release the UPTET application form 2023 online on the official website. The UPTET 2023 application form will be released online at updeled.gov.in. Only eligible candidates are able to fill the application form of UPTET 2023 within the specified date. In UPTET notification 2023, the important dates related to the UPTET 2023 exam will also be announced. ",Uttar Pradesh Teacher Eligibility Test,UPTET,Uttar Pradesh Basic Education Board,Once a year,NA,"English, Hindi ",Online,600 Rs ,Offline,NA,NA,NA,NA,NA,NA,"Paper I is held for the candidates who have applied for primary classes (I to V). There will be a total of 150 (MCQs) questions carrying one mark each. No negative marking will be done for any incorrect answer,Paper II will be conducted for candidates who have applied for class VI to VIII. There will be a total of 150 (MCQs) questions and each question carries one mark. No negative marking will be done for any wrong answer."
TNPSC Horticulture Assistant Director Recruitment Exam,"Tamil Nadu Public Service Commission (TNPSC) releases the notification for the recruitment of TNPSC Assistant Director of Horticulture. TNPSC will recruit candidates for the post of Horticulture Assistant Director on the basis of two exam stages – Written exam and Interview. Furthermore, the Written exam will consist of two papers – Paper 1 and 2. After the conduct of the Written exam, the Commission will shortlist candidates for Interview based on marks secured in the written test. Aspirants must ensure that they fulfill all the eligibility conditions prescribed by Tamil Nadu PSC before applying for the post.",Tamil Nadu Public Service Commission Horticulture Recruitment for Assistant Director,TNPSC Horticulture Assistant Director Recruitment,Tamil Nadu Public Service Commission,Vacancy Based,NA,"English, Tamil",Online,150 Rs ,Offline,Offline,NA,NA,NA,NA,NA,"Tamil Nadu Public Service Commission (TNPSC) will issue the online admit card of Horticulture Assistant Director few days prior to the conduct of the exam. Candidates who have applied successfully for TNPSC Horticulture Assistant Director can avail the admit card with their application number/ login ID and date of birth. TNPSC issues the admit card of TNPSC Assistant Director Horticulture individually for the two stages of the exam - Written exam and Interview. Candidates must carefully check the details printed on TNPSC Assistant Director Horticulture for discrepancies. In case candidates find discrepancies in the admit card, they must contact the Commission and get the same corrected."
BOB PO Exam,"Bank of Baroda (BOB) releases the notification of Probationary Officer in Junior Management Grade/Scale-I to fill various vacancies. Candidates are selected through a selection process consisting of an online exam (objective + descriptive) followed by Psychometric Assessment, Group Discussion (GD) and Personal Interview (PI). The selected candidates have to undergo a nine-month campus programme at Baroda Manipal School of Banking. The candidates are awarded a Post Graduate Certificate in Banking & Finance after the successful completion of the programme and they will be offered Probationary Officer post. The candidates have to take three months On the Job Training (Work Integrated Learning) at a Bank of Baroda branch. Finally, candidates gets PG Diploma in Banking & Finance by Manipal Academy of Higher education (MAHE).",Bank of Baroda Probationary Officer Exam,BOB PO,Bank of Baroda,Vacancy Based,NA,"English, Hindi",Online,600 Rs ,Online,Online / Offline,3 Hours,NA,NA,NA,NA,NA
UP PCS Exam,"- Public Service Commission, Uttar Pradesh has released the detailed UP PCS notification 2023 on  March 3 on the official website at uppsc.up.nic.in. Along with the UPPSC PCS 2023 notification, the commission has also released the application form online. Candidates can fill the UPPSC PCS application form 2023 till April 6, 2023.",UPPSC Commission Combined State/Upper Subordinate Services Exam,UP PCS,Uttar Pradesh Public Service Commission,Vacancy Based,NA,"English, Hindi",Online,125 Rs ,NA,UP PCS Preliminary Exam offline,NA,NA,NA,NA,NA,"UP PCS 2023 Exam Pattern for Prelims is announced by UPPSC in its notification for the same. The exam pattern of UP PCS is to be used by candidates to understand the pattern of the question paper in terms of subjects, type of questions asked, marks awarded, duration and more. To know the detailed UP PCS exam pattern 2023 check the table below.,The exam pattern of the UP PCS 2023 main exam is notified by UPPSC through its advertisement for the same. Candidates who qualify in the prelims exam of UP PCS 2023 will be eligible to appear for the Main exam. Chances of qualifying will be better with a sound knowledge of the UP PCS exam pattern 2023 for the Main exam. This will empower the candidates with the know how of the type of questions, marks awarded, subjects to study etc."
Bihar Police Constable Exam,"Bihar Police Sub-ordinate Services Commission has declared the Bihar police constable 2021 result on December 6, 2021 online on the official website. Shortlisted candidates will have to undergo a Physical Endurance Test after which a final list of selected candidates for different posts will be released.",Bihar Police Constable Exam,Bihar Police Constable,Bihar Police Sub-ordinate Services Commission,Vacancy Based,NA,"English, Hindi",Online,450 Rs ,Online,NA,2 Hours,NA,NA,NA,NA,"The admit card of Bihar Police Constable 2020 was released on February 24, 2021. The hall ticket is released on the official website of Bihar Police and candidates can download it using their application number. Candidates will be required to carry their admit cards to the exam centres. Candidates who fail to do so will not be permitted to take the exam."
WBPCS Exam,"- West Bengal Public Service Commission (WBPSC) has released the WBCS 2023 application form online on February 28 on the official website. The authorities will close WBCS application form 2023 on March 21. Candidates who are citizens of India, between 20 and 36 years of age holding graduation degree could fill the application form of WBCS 2023 exam. ",West Bengal Public Service Commission Exam,WBPCS,Public Service Commission West Bengal,Once a year,NA,"Bengali, English",Online,210 Rs ,Offline,Offline,NA,NA,NA,NA,NA,NA
MPPEB Jail Prahari Exam,"Madhya Pradesh Professional Exam Board releases the notification related to the MPPEB Jail PraharI Recruitment 2022. The application form can be filled on from January 20 to February 3, 2023. The exam of MPPEB Jail Prahari exam will be conducted to recruit candidates for the post Jail Prahari. Candidates interested in applying for the post of Jail Prahari in Madhya Pradesh State government must fill the application form of MPPEB Jail Prahari. The application form is released in online mode on official website. The result of MPPEB Jail Prahari will tentatively be released a month and a half after the conduct of exam.",Madhya Pradesh Professional Exam Board Jail Prahari Exam,MPPEB Jail Prahari,Madhya Pradesh Professional Exam Board,NA,NA,"English, Hindi",Online,500 Rs ,Online,Offline,2 Hours,NA,NA,NA,NA,"The MPPEB Jail Prahari admit card will be released by Madhya Pradesh Professional Exam board in the online mode on the official website. Candidates can download their admit card using their application number. The MPPEB Jail Prahari admit card will consist of two parts. The first part will mention the exam and candidature details like name, date of birth, exam date, exam centre etc. The other part will have space for the signature and biometric of the candidate which he/she will have to fill while in the examination hall."
OICL AO Recruitment Exam,"The Oriental Insurance Company Limited (OICL) will conduct OICL exam for the recruitment of Officers in Scale I cadre. Aspiring candidates between 21 to 30 years of age and those who hold graduation/post-graduation degree with at least 60% marks can apply for the available posts. The exam of OICL will be conducted in three phases - phase I, II and Interview. Candidates who qualify in phase I will be eligible to appear for the phase II examination. Only those candidates will be called for the Interview round who will qualify in the Phase II exam of OICL. Phase I (prelims) exam will comprise of objective questions of 100 marks for which candidates will be given 1 hour. The phase II (mains) exam will consist of two tests - objective and descriptive. The objective test of the OICL mains exam will consist of 200 marks questions while the descriptive test will comprise of 30 marks questions for which the candidates will be given 2 hours 30 minutes. The final result of OICL will be based on the marks scored by the candidates in the online test (excluding the descriptive part) and Interview.",The Oriental Insurance Company Limited Administrative Officers Recruitment,OICL AO Recruitment,The Oriental Insurance Company Limited Administrative,NA,NA,NA,Online,600 Rs ,Online,Online / Offline,NA,NA,NA,NA,NA,NA
RPF Constable Exam,"The ministry releases the notification of RPF Constable to recruit both male and female candidates for the post of Constable in Railway Protection Force (RPF) and Railway Protection Special Force (RPSF) for various zones of Indian Railways. The recruitment process is conducted in three stages – Computer Based Test (CBT), Physical Efficiency Test/ Physical Measurement Test (PET/ PMT) and Document Verification. To be recruited for the post, candidates must qualify each stage of the exam. After all stages of the exam are conducted, a final merit list is prepared to recruit candidates for the post of Constable in RPF and RPSF.",Railway Protection Force and Railway Protection Special Force Constable Exam,RPF Constable,Ministry of Railways,NA,NA,"Assamese, Bengali ",Offline / Online,500 Rs ,Online,Online / Offline,1 Hour 30 Minutes,8619 Seats,NA,NA,NA,NA
Indian Coast Guard Yantrik Exam,"Indian Coast Guard conducts Indian Coast Guard Yantrik exam for all the aspiring candidates who wish to join the Indian Coast Guard as Yantrik.  The official notification for Indian Coast Guard Yantrik recruitment has been released at the official website. Candidates can fill online application form from January 5 to 19, 2021 on the official website.  Candidates between 18 to 22 years of having a diploma in Telecommunication/Electrical/Mechanical and Electronics Engineering with 60% marks are eligible to apply for the recruitment. Candidates can download the Indian Coast Guard Yantril admit card tentatively 15 days before the ",Indian Coast Guard Yantrik Exam,Indian Coast Guard Yantrik,Indian Coast Guard,Vacancy Based,NA,NA,Online,NA,NA,NA,NA,NA,NA,NA,NA,"Indian Coast Guard will release the admit card of Yantrik 2021 in online mode at its official website. Candidates need to login with their registered email ID/application number to download the admit card of Indian Coast Guard Yantrik 2021. Candidates also required to bring any one identity proof like Aadhaar Card, Voter ID Card, Passport, Pan Card along with the Indian Coast Guard Yantrik Admit Card. The admit card of Indian Coast Guard Yantrik will have details like name, roll number, name and address of the exam centre, photograph and signature.,Documents required to be carried along with the admit card (original as well as photocopy)"
IPPB Officer Scale I Exam,India Post Payments Bank (IPPB) conducts IPPB Officer Scale 1 exam for the recruitment of candidates. IPPB Officer Scale 1 is  conducted for the designation of Assistant Manager (Territory) for 20-30 years old individuals. Candidates first need to register for the exams by going online on the link provided on this page. Candidates also have to pay the application fees during the time of application only. Admit card of IPPB Officer Scale I are available to download from the official site a week before the exam is conducted.,India Post Payments Bank Limited Officer Scale 1 Exam,IPPB Officer Scale I,India Post Payments Bank,Vacancy Based,NA,"English, Hindi",Online,750 Rs ,Online,NA,3 Hours 18 Minutes,NA,NA,NA,NA,"While preparing for IPPB Officer Scale 1 exam, the exam pattern is very important to plan your studies. Exam pattern contains information such as the marking scheme, topic-wise weightage, types of questions asked etc. Here is the IPPB Officer Scale 1 exam pattern:,The exam will be online.,There will be multiple-choice, objective-based questions.,Questions asked in three sections - English Language, Quantitative Aptitude and Reasoning Ability.,Exam duration will be 1 hour and all the three sections will weigh 100 marks together.,Knowing the exam pattern for IPPB Officer Scale 1 exam can prove to be the key of scoring good marks as it point your studies towards the right direction. Exam pattern makes the applicant aware of the marking scheme, syllabus, distribution of marks and much more. Exam pattern for IPPB exam is given below;,The exam is conducted online.,Questions are objective based, multiple choice questions.,Tests is divided into five parts.,Total time to solve the test would be 140 minutes and would weigh 200 marks."
ICICI Bank PO Exam," Industrial Credit and Investment Corporation of India will release the ICICI Bank PO 2022 application form online on September 1, 2022. The Probationary Officers training programme will be conducted by the Industrial Credit and Investment Corporation of India (ICICI).",Industrial Credit and Investment Corporation of India Bank Probationary Officer Exam,ICICI Bank PO,Industrial Credit and Investment Corporation of India,2 times a year,NA,English,Online,NA,Online,NA,NA,NA,NA,NA,NA," The ICICI Bank PO exam will be conducted for three phases - Online Aptitude Test, Online Psychometric Test, Group Discussion and Interview."
UPSC ESE Exam," The Union Public Service Commission has released the UPSC ESE result 2023 for prelimes exam in online mode on March 3 on the official website - upsc.gov.in. UPSC ESE 2023 prelims exam has been conducted on February 19, 2023 and mains exam will be conducted on June 25, 2023.",Union Public Service Commission Engineering Services Exam,UPSC ESE,Union Public Service Commission,Once a year,NA,English,Offline / Online,200 Rs ,NA,NA,NA,327 Seats,NA,NA,NA,"UPSC ESE prelims exam is the first stage in the selection process. Candidates qualifying in the preliminary stage of the UPSC ESE exam will have to appear for the mains exam. The preliminary exam is conducted for two papers - paper I and II wherein paper I is General Studies and paper II is Engineering Aptitude. The exam is objective in nature.,Candidates who qualify in the UPSC ESE preliminary exam will have to take the UPSC ESE mains exam. The mains exam of UPSC ESE 2023 is descriptive in nature which is conducted for two papers - paper I and II for 300 marks each. The table below contains UPSC ESE 2023 exam pattern for the mains exam,Here Engineering exam varies for different subjects i.e Mechanical Engineering, Electrical Engineering, Civil Engineering and Electronics and Telecommunication Engineering, Candidates who qualify in the mains exam will have to appear for a Personality Interview."
JKPSC KAS Exam," Jammu & Kashmir Public Service Commission will release the JKPSC KAS application form 2022 online on April 25 on the official website. The last date to fill the JKPSC KAS 2022 application form is May 15. Jammu & Kashmir Public Service Commission conducts JKPSC KAS recruitment for the posts or services such as Junior Scale of J&K Administrative Service, J&K Police (G) Service, J&K Accounts (G) Service. ",JKPSC Combined Competitive Exam,JKPSC KAS,Jammu and Kashmir Public Service Commission,NA,NA,English,NA,NA,Offline,NA,NA,220 Seats,NA,NA,NA,"The admit card of JKPSC KAS is released in online mode for all the three stages. Candidates can download the admit card by using the required credentials in the login window. JKPSC KAS admit card will have details like exam timing, exam centres, name, gender, date of birth etc.  In case of any discrepancy in the admit card, candidates must immediately contact the exam conducting authority and get the necessary changes done in it."
BSPHCL Assistant Exam," BSPHCL (Bihar State Power Holding Company Ltd) will conduct Assistant Exam on May 5, 2022, for recruiting vacant posts in the company and its subsidiary companies namely Bihar State Power Transmission Company Ltd. (BSPTCL), South Bihar Power Distribution Company Ltd. (SBPDCL), North Bihar Power Distribution Company Limited (NBPDCL) & Bihar State Power Generation Company Limited (BSPGCL). ",Bihar State Power (Holding) Company Limited Assistant Exam,BSPHCL Assistant,Bihar State Power (Holding) Company Limited,NA,NA,"English, Hindi",Online,1000 Rs ,Online,NA,NA,185 Seats,NA,NA,NA,"The admit card for , BSHCL. The call letter has been available online only. No document will be sent by post to the candidates. The candidates will be intimated on the valid email ID or contact number as mentioned regarding the exam date, or any other relevant information."
